,number_week,artist_individual,true_streams,rank
330,20210923,Lil Nas X,58919382.5,1.0
331,20210923,Drake,43236814.833333336,2.0
332,20210923,Doja Cat,27823698.5,3.0
333,20210923,Olivia Rodrigo,25293123.0,4.0
334,20210923,Kanye West,20473014.0,5.0
335,20210923,The Weeknd,10576321.5,6.0
336,20210923,Jack Harlow,9907011.0,7.0
337,20210923,Ed Sheeran,9331437.0,8.0
338,20210923,Juice WRLD,9251854.5,9.0
339,20210923,Lil Baby,8348958.666666667,10.0
340,20210930,Drake,29863874.5,1.0
341,20210930,Lil Nas X,27829941.0,2.0
342,20210930,Doja Cat,24706179.0,3.0
343,20210930,Olivia Rodrigo,24138261.0,4.0
344,20210930,Kanye West,16598954.0,5.0
345,20210930,The Weeknd,11836635.5,6.0
346,20210930,J. Cole,10427549.166666666,7.0
347,20210930,YoungBoy Never Broke Again,10232694.0,8.0
348,20210930,Juice WRLD,9089404.0,9.0
349,20210930,Billie Eilish,8997193.5,10.0
350,20211007,Doja Cat,23723061.0,1.0
351,20211007,Olivia Rodrigo,23034525.0,2.0
352,20211007,Drake,22298832.5,3.0
353,20211007,Lil Nas X,16275916.5,4.0
354,20211007,Kanye West,14575322.0,5.0
355,20211007,The Weeknd,11677561.5,6.0
356,20211007,J. Cole,10125029.166666666,7.0
357,20211007,Juice WRLD,9716358.5,8.0
358,20211007,Billie Eilish,8875859.0,9.0
359,20211007,Ed Sheeran,8182404.0,10.0
360,20211014,Doja Cat,23216761.5,1.0
361,20211014,Olivia Rodrigo,21888345.0,2.0
362,20211014,Drake,17636445.5,3.0
363,20211014,Lil Nas X,14921065.0,4.0
364,20211014,Kanye West,11944139.0,5.0
365,20211014,The Weeknd,11480764.5,6.0
366,20211014,Don Toliver,9694761.5,7.0
367,20211014,Juice WRLD,9524885.5,8.0
368,20211014,J. Cole,8893132.166666666,9.0
369,20211014,Billie Eilish,8661454.0,10.0
370,20211021,Adele,42218423.0,1.0
371,20211021,Doja Cat,22579533.5,2.0
372,20211021,Olivia Rodrigo,20794001.0,3.0
373,20211021,Drake,15986236.666666666,4.0
374,20211021,Lil Nas X,13903347.0,5.0
375,20211021,The Weeknd,11607243.0,6.0
376,20211021,Kanye West,11304965.0,7.0
377,20211021,Juice WRLD,9690383.0,8.0
378,20211021,J. Cole,8607955.0,9.0
379,20211021,Billie Eilish,8547824.0,10.0
380,20211028,Adele,27090699.0,1.0
381,20211028,Doja Cat,21746824.0,2.0
382,20211028,Olivia Rodrigo,20393566.0,3.0
383,20211028,The Weeknd,15066358.0,4.0
384,20211028,Drake,14869290.666666668,5.0
385,20211028,Lil Nas X,12517984.0,6.0
386,20211028,Kanye West,11083602.0,7.0
387,20211028,Billie Eilish,8384201.0,8.0
388,20211028,Ed Sheeran,8075744.0,9.0
389,20211028,Polo G,8038667.5,10.0
390,20211104,Doja Cat,20034906.0,1.0
391,20211104,Ed Sheeran,19225386.0,2.0
392,20211104,Olivia Rodrigo,18965019.0,3.0
393,20211104,Adele,15963762.0,4.0
394,20211104,The Weeknd,13827334.0,5.0
395,20211104,Drake,13010029.833333334,6.0
396,20211104,Lil Nas X,11817878.0,7.0
397,20211104,Billie Eilish,9862795.5,8.0
398,20211104,Kanye West,9147324.0,9.0
399,20211104,Lil Uzi Vert,8410966.5,10.0
400,20211111,Summer Walker,25260497.833333332,1.0
401,20211111,Travis Scott,19005944.666666668,2.0
402,20211111,Doja Cat,18827351.0,3.0
403,20211111,Olivia Rodrigo,18664599.0,4.0
404,20211111,The Weeknd,17839945.0,5.0
405,20211111,Adele,11355139.0,6.0
406,20211111,Ed Sheeran,11109321.0,7.0
407,20211111,Lil Nas X,10737778.0,8.0
408,20211111,Drake,10110431.0,9.0
409,20211111,Post Malone,9344059.666666666,10.0
410,20211118,Taylor Swift,175126718.0,1.0
411,20211118,Doja Cat,17557676.5,2.0
412,20211118,Juice WRLD,16056358.5,3.0
413,20211118,Adele,14880334.0,4.0
414,20211118,The Weeknd,13958720.5,5.0
415,20211118,Bruno Mars,13777974.4,6.0
416,20211118,Polo G,13408763.666666666,7.0
417,20211118,Ed Sheeran,13204787.5,8.0
418,20211118,Olivia Rodrigo,12565678.0,9.0
419,20211118,Anderson .Paak,12176845.4,10.0
420,20211125,Adele,92233445.0,1.0
421,20211125,Taylor Swift,58547067.5,2.0
422,20211125,Doja Cat,18033659.0,3.0
