,week,country,rank,artist_names,artists_num,artist_individual,artist_id,artist_genre,artist_img,collab,track_name,release_date,source,peak_rank,previous_rank,weeks_on_chart,streams,region,language,ISO3,number_week,true_streams
4063,2022-03-24,Malaysia,1,Justin Bieber,1,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,canadian pop,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,0,Ghost,2021-03-19,RBMG/Def Jam,1,2,25,415949,Asia,Malay,MYS,20220324,415949.0
4064,2022-03-24,Mexico,1,Eden Muñoz,1,Eden Muñoz,spotify:artist:1gJdf4Yybu4X5A2xYV3NMV,musica mexicana,https://i.scdn.co/image/ab6761610000e5eb837907981113b938598c697f,0,Chale,2022-02-18,Lizos Music,1,1,5,5364279,North America,Spanish,MEX,20220324,5364279.0
4065,2022-03-24,Morocco,1,7liwa,1,7liwa,spotify:artist:7fmcLXdUj5tVr806b7Uzt3,rap maroc,https://i.scdn.co/image/ab6761610000e5eb37bf41d841521640e290104e,0,Hallelujah,2022-03-10,PopArabia,1,1,3,130410,Africa,Arabic,MAR,20220324,130410.0
4066,2022-03-24,Netherlands,1,Antoon,1,Antoon,spotify:artist:5sBoNBXFMzoZjgHLbQueeG,0,https://i.scdn.co/image/ab6761610000e5eb7db2010dc890607a3f13fe61,0,Hallo,2022-02-25,Dreamteam,1,1,4,1753542,Europe,Dutch,NLD,20220324,1753542.0
4067,2022-03-24,New Zealand,1,Glass Animals,1,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,shiver pop,https://i.scdn.co/image/ab6761610000e5eb66b27eccb69756f8eceabc23,0,Heat Waves,2020-08-06,Polydor Records,1,3,64,172681,Oceania,English,NZL,20220324,172681.0
4068,2022-03-24,Nicaragua,1,"Tainy, Bad Bunny, Julieta Venegas",3,Tainy,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,trap latino,https://i.scdn.co/image/ab6761610000e5eb0b4ecb49d9dcd631a07a1315,1,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Neon16,1,1,25,54800,Central America,Spanish,NIC,20220324,18266.666666666668
4069,2022-03-24,Nigeria,1,"Pheelz, BNXN fka Buju",2,Pheelz,spotify:artist:5Jv1MsZBh0sqokFq7pU8Xg,afropop,https://i.scdn.co/image/ab6761610000e5eb66ede0344fdb38c1c2361a5b,1,Finesse,2022-03-03,Warner Records,1,1,4,183543,Africa,English,NGA,20220324,91771.5
4070,2022-03-24,Norway,1,"Ballinciaga, David Mokel",2,Ballinciaga,spotify:artist:7GgWpPrcNYH90st7I3nJtv,norwegian pop,https://i.scdn.co/image/ab6761610000e5eb143c053685404989734baf4d,1,Dans På Bordet,2022-02-09,Virgin Music Label And Artist Services,1,1,6,933204,Europe,Norwegian,NOR,20220324,466602.0
4071,2022-03-24,Panama,1,Boza,1,Boza,spotify:artist:2NfSBtmWe7oPw1EmetJVso,trap latino,https://i.scdn.co/image/ab6761610000e5eb94cf52a04855b3f75496fdf5,0,San Andrés,2022-03-11,Sony Music Latin,1,1,2,94207,Central America,Spanish,PAN,20220324,94207.0
4072,2022-03-24,Paraguay,1,"Rauw Alejandro, Chencho Corleone",2,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq,puerto rican pop,https://i.scdn.co/image/ab6761610000e5eb754fd19c86184acc854b79a6,1,Desesperados,2021-12-10,Sony Music Latin/Duars Entertainment,1,1,15,270654,South America,Spanish,PRY,20220324,135327.0
4073,2022-03-24,Peru,1,"Becky G, KAROL G",2,Becky G,spotify:artist:4obzFoKoKRHIphyHzJ35G3,latin,https://i.scdn.co/image/ab6761610000e5eb978f96761eb3fa26b91f1fb8,1,MAMIII,2022-02-10,Kemosabe Records/RCA Records,1,1,6,1010568,South America,Spanish,PER,20220324,505284.0
4074,2022-03-24,Philippines,1,Zack Tabudlo,1,Zack Tabudlo,spotify:artist:67IN4cLJ7798gUapyZlmac,acoustic opm,https://i.scdn.co/image/ab6761610000e5eb23c820e8d066c83df8d818fe,0,Pano,2021-12-06,Universal Music Philippines Inc.,1,1,15,1669188,Asia,Tagalog,PHL,20220324,1669188.0
4075,2022-03-24,Poland,1,"sanah, Kwiat Jabłoni",2,sanah,spotify:artist:0TMvoNR0AIJV138mHY6jdE,polish pop,https://i.scdn.co/image/ab6761610000e5eb029591562694f433aee27d28,1,Szary świat,2022-03-17,Magic Records,1,-1,1,2014137,Europe,Polish,POL,20220324,1007068.5
4076,2022-03-24,Portugal,1,"PEDRO SAMPAIO, Mc Pedrinho",2,PEDRO SAMPAIO,spotify:artist:5wbf52LA6kcaboHSN6NEF1,funk carioca,https://i.scdn.co/image/ab6761610000e5ebf84f9ddea636e5d4869c896d,1,DANÇARINA,2022-02-02,WM Brazil,1,1,6,533186,Europe,Portuguese,PRT,20220324,266593.0
4077,2022-03-24,Romania,1,"RAVA, Iustin",2,RAVA,spotify:artist:6ocuMBOl5OFS3AViv3DnG6,romanian trap,https://i.scdn.co/image/ab6761610000e5eb0b38dda7271cc04a5aced2bc,1,IN LIPSA TA,2022-03-11,Seek Music,1,2,2,103833,Europe,Romanian,ROU,20220324,51916.5
